Category,transportation million metric tons of carbon dioxide,industrial million metric tons of carbon dioxide,residential million metric tons of carbon dioxide,commercial million metric tons of carbon dioxide
1990,1588,1697,963,793
1991,1568,1652,980,794
1992,1592,1726,981,796
1993,1604,1723,1039,819
1994,1644,1754,1032,833
1995,1679,1754,1039,851
1996,1724,1807,1099,883
1997,1742,1825,1090,926
1998,1779,1808,1097,947
1999,1826,1785,1122,960
2000,1870,1790,1185,1022
2001,1849,1717,1171,1027
2002,1890,1691,1203,1026
2003,1891,1700,1232,1037
2004,1957,1741,1227,1053
2005,1984,1685,1261,1069
2006,2012,1667,1191,1043
2007,2018,1667,1241,1078
2008,1893,1614,1235,1075
2009,1825,1403,1157,1007
2010,1843,1507,1210,1025
2011,1809,1498,1149,990
2012,1773,1481,1043,932
2013,1796,1501,1100,958
2014,1815,1513,1115,970
2015,1839,1455,1037,932
2016,1871,1424,982,894
2017,1888,1430,947,867
2018,1918,1462,1016,886
2019,1905,1423,963,839
